seq,changed?,dbpedia,umbel,status,source,comments,BLANK,hier1,hier2,hier3,hier4,hier5,hier6,hier7,,status,,source
229,,Mayor,Mayor,OK,web+onto+v105,,,,,,Mayor,,,,,,,
230,,MemberOfParliament,ParliamentMember,OK,web+onto+v105,,,,,,MemberOfParliament,,,,,,,
231,,President,PresidentOfOrganization,OK,web+onto+v105,,,,,,President,,,,,,,
232,,PrimeMinister,PrimeMinister_HeadOfGovernment,OK,web+onto+v105,,,,,,PrimeMinister,,,,,,,
233,,Senator,Politician,NEED,web+onto+v105,,,,,,Senator,,,,,,,
234,,VicePresident,VicePresidentOfOrganization,OK,web+onto+v105,,,,,,VicePresident,,,,,,,
235,,VicePrimeMinister,Minister_Governmental,NEED,web+onto+v105,,,,,,VicePrimeMinister,,,,,,,
236,,PoliticianSpouse,Celebrity_Political,NEED,web,,,,,PoliticianSpouse,,,,,,,,
237,,Presenter,TalkShowHost,OK,web+onto,,,,,Presenter,,,,,,,,
238,,RadioHost,RadioTalkShowHost,OK,web+onto,,,,,,RadioHost,,,,,,,
239,,TelevisionHost,TVShowHost,OK,web+onto,,,,,,TelevisionHost,,,,,,,
240,,Psychologist,Psychologist,OK,web,,,,,Psychologist,,,,,,,,
241,,Referee,Referee,OK,web+onto,,,,,Referee,,,,,,,,
242,,Religious,ReligiousPerson,OK,web+onto,,,,,Religious,,,,,,,,
243,,RomanEmperor,Emperor_HeadOfState,OK,web,,,,,RomanEmperor,,,,,,,,
244,X,Royalty,Aristocrat,OK,web+onto,,,,,Royalty,,,,,,,,
245,X,BritishRoyalty,Aristocrat,NEED,web+onto+v105,,,,,,BritishRoyalty,,,,,,,
246,,Baronet,Baronet,OK,web,,,,,,,Baronet,,,,,,
247,,PolishKing,King_HeadOfState,NEED,web+onto,,,,,,PolishKing,,,,,,,
248,,Scientist,Scientist,OK,web+onto+v105,,,,,Scientist,,,,,,,,
249,,Entomologist,Zoologist,NEED,web,,,,,,Entomologist,,,,,,,
250,,Medician,Doctor_Medical,OK,web+onto,,,,,,Medician,,,,,,,
251,,Professor,Professor,OK,web+onto,,,,,,Professor,,,,,,,
252,,SportsManager,GeneralManager_SportsTeam,OK,web+onto,,,,,SportsManager,,,,,,,,
253,,SoccerManager,GeneralManager_SportsTeam,NEED,web+onto+v105,,,,,,SoccerManager,,,,,,,
254,,TelevisionPersonality,TelevisionStar,OK,web,,,,,TelevisionPersonality,,,,,,,,
255,,Host,TalkShowHost,OK,web+onto,,,,,,Host,,,,,,,
256,,Altitude,Altitude,OK,web,,,Altitude,,,,,,,,,,
257,,AnatomicalStructure,AnimalBodyPart,OK,web+onto+v105,,,AnatomicalStructure,,,,,,,,,,
258,,Artery,Artery,OK,web+onto+v105,,,,Artery,,,,,,,,,
259,,Bone,Bone_BodyPart,OK,web+onto+v105,,,,Bone,,,,,,,,,
260,,Brain,Brain,OK,web+onto+v105,,,,Brain,,,,,,,,,
261,,Embryology,Embryology,OK,web+onto+v105,,,,Embryology,,,,,,,,,
262,,Ligament,Ligament,OK,web+onto,,,,Ligament,,,,,,,,,
263,,Lymph,Lymph,OK,web+onto+v105,,,,Lymph,,,,,,,,,
264,,Muscle,Muscle,OK,web+onto+v105,,,,Muscle,,,,,,,,,
265,,Nerve,Nerve,OK,web+onto+v105,,,,Nerve,,,,,,,,,
266,,Vein,Vein,OK,web+onto+v105,,,,Vein,,,,,,,,,
267,,Area,Area,UPDATED,web+v105,,,Area,,,,,,,,,,
268,,Award,AwardPractice,OK,web+onto+v105,,,Award,,,,,,,,,,
269,,Decoration,Decoration,OK,web+onto,,,,Decoration,,,,,,,,,
